"Time (s) Run #1";"Angle (rad) Run #1";"Position (m) Run #1";"Magnetic Field Strength (100X) (T) Run #1"
8,200;-2,765;-0,0770;6,7E-6
8,250;-2,763;-0,0770;
8,300;-2,761;-0,0769;6,8E-6
8,350;-2,758;-0,0768;
8,400;-2,752;-0,0767;6,8E-6
8,450;-2,744;-0,0764;
8,500;-2,732;-0,0761;6,9E-6
8,550;-2,716;-0,0756;
8,600;-2,699;-0,0752;7,0E-6
8,650;-2,684;-0,0748;
8,700;-2,672;-0,0744;7,1E-6
8,750;-2,666;-0,0742;
8,800;-2,661;-0,0741;7,2E-6
8,850;-2,655;-0,0739;
8,900;-2,644;-0,0736;7,3E-6
8,950;-2,630;-0,0732;
9,000;-2,609;-0,0727;7,4E-6
9,050;-2,584;-0,0720;
9,100;-2,553;-0,0711;7,7E-6
9,150;-2,520;-0,0702;
9,200;-2,490;-0,0693;8,0E-6
9,250;-2,463;-0,0686;
9,300;-2,439;-0,0679;8,3E-6
9,350;-2,421;-0,0674;
9,400;-2,403;-0,0669;8,4E-6
9,450;-2,389;-0,0665;
9,500;-2,377;-0,0662;8,5E-6
9,550;-2,362;-0,0658;
9,600;-2,345;-0,0653;8,8E-6
9,650;-2,328;-0,0648;
9,700;-2,309;-0,0643;9,0E-6
9,750;-2,292;-0,0638;
9,800;-2,271;-0,0633;9,1E-6
9,850;-2,249;-0,0627;
9,900;-2,227;-0,0620;9,4E-6
9,950;-2,204;-0,0614;
10,000;-2,174;-0,0606;9,7E-6
10,050;-2,139;-0,0596;
10,100;-2,103;-0,0586;1,0E-5
10,150;-2,062;-0,0574;
10,200;-2,023;-0,0564;1,1E-5
10,250;-1,984;-0,0553;
10,300;-1,948;-0,0543;1,1E-5
10,350;-1,916;-0,0534;
10,400;-1,890;-0,0526;1,1E-5
10,450;-1,861;-0,0518;
10,500;-1,835;-0,0511;1,2E-5
10,550;-1,808;-0,0504;
10,600;-1,781;-0,0496;1,2E-5
10,650;-1,753;-0,0488;
10,700;-1,725;-0,0480;1,3E-5
10,750;-1,696;-0,0473;
10,800;-1,667;-0,0464;1,3E-5
10,850;-1,635;-0,0455;
10,900;-1,604;-0,0447;1,4E-5
10,950;-1,571;-0,0438;
11,000;-1,538;-0,0428;1,4E-5
11,050;-1,505;-0,0419;
11,100;-1,469;-0,0409;1,5E-5
11,150;-1,434;-0,0399;
11,200;-1,398;-0,0389;1,5E-5
11,250;-1,360;-0,0379;
11,300;-1,321;-0,0368;1,6E-5
11,350;-1,280;-0,0357;
11,400;-1,239;-0,0345;1,7E-5
11,450;-1,199;-0,0334;
11,500;-1,158;-0,0322;1,7E-5
11,550;-1,115;-0,0311;
11,600;-1,071;-0,0298;1,8E-5
11,650;-1,027;-0,0286;
11,700;-0,985;-0,0274;1,9E-5
11,750;-0,944;-0,0263;
11,800;-0,908;-0,0253;1,9E-5
11,850;-0,873;-0,0243;
11,900;-0,839;-0,0234;2,0E-5
11,950;-0,800;-0,0223;
