"Time (s) Run #2";"Angle (rad) Run #2";"Position (m) Run #2";"Magnetic Field Strength (100X) (T) Run #2"
13,900;-3,413;-0,0951;1,4E-5
14,000;-3,434;-0,0956;1,4E-5
14,100;-3,453;-0,0962;1,4E-5
14,200;-3,473;-0,0967;1,4E-5
14,300;-3,489;-0,0972;1,4E-5
14,400;-3,492;-0,0973;1,4E-5
14,500;-3,498;-0,0974;1,4E-5
14,600;-3,512;-0,0978;1,4E-5
14,700;-3,528;-0,0983;1,4E-5
14,800;-3,539;-0,0986;1,3E-5
14,900;-3,555;-0,0990;1,3E-5
15,000;-3,580;-0,0997;1,3E-5
15,100;-3,608;-0,1005;1,3E-5
15,200;-3,646;-0,1015;1,3E-5
15,300;-3,696;-0,1029;1,2E-5
15,400;-3,735;-0,1040;1,2E-5
15,500;-3,776;-0,1052;1,2E-5
15,600;-3,820;-0,1064;1,1E-5
15,700;-3,870;-0,1078;1,1E-5
15,800;-3,929;-0,1094;1,1E-5
15,900;-3,982;-0,1109;1,0E-5
16,000;-4,035;-0,1124;1,0E-5
16,100;-4,092;-0,1140;9,8E-6
16,200;-4,145;-0,1155;9,5E-6
16,300;-4,191;-0,1167;9,3E-6
16,400;-4,238;-0,1180;9,0E-6
16,500;-4,287;-0,1194;8,8E-6
16,600;-4,329;-0,1206;8,6E-6
16,700;-4,342;-0,1209;8,6E-6
16,800;-4,340;-0,1209;8,5E-6
16,900;-4,339;-0,1208;8,5E-6
17,000;-4,339;-0,1208;8,6E-6
17,100;-4,339;-0,1208;8,6E-6
17,200;-4,339;-0,1208;8,6E-6
17,300;-4,339;-0,1208;8,6E-6
17,400;-4,337;-0,1208;8,6E-6
17,500;-4,335;-0,1208;8,6E-6
17,600;-4,332;-0,1207;8,6E-6
17,700;-4,328;-0,1205;8,7E-6
17,800;-4,302;-0,1198;8,8E-6
17,900;-4,265;-0,1188;9,0E-6
18,000;-4,221;-0,1176;9,2E-6
18,100;-4,170;-0,1162;9,4E-6
18,200;-4,106;-0,1144;9,8E-6
18,300;-4,029;-0,1122;1,0E-5
18,400;-3,946;-0,1099;1,1E-5
18,500;-3,867;-0,1077;1,1E-5
18,600;-3,806;-0,1060;1,2E-5
18,700;-3,767;-0,1049;1,2E-5
18,800;-3,735;-0,1040;1,2E-5
18,900;-3,713;-0,1034;1,2E-5
19,000;-3,679;-0,1025;1,2E-5
19,100;-3,629;-0,1011;1,3E-5
